timestamp,TotalSteps,StepsToday
1557563380416,76340,216
1557563381417,76342,218
1557563382410,76344,220
1557563383428,76346,222
1557563384444,76348,224
1557563385459,76350,226
1557563386460,76352,228
1557563387450,76354,230
1557563388461,76356,232
1557563389497,76358,234
1557563390510,76360,236
1557563391504,76362,238
1557563392503,76364,240
1557563393501,76366,242
1557563394516,76368,244
1557563395523,76370,246
1557563396548,76372,248
1557563397559,76374,250
1557563398570,76376,252
1557563399556,76378,254
1557563400581,76380,256
1557563401588,76382,258
1557563402598,76384,260
1557563403608,76386,262
1557563404590,76388,264
1557563405619,76390,266
1557563406610,76392,268
1557563407670,76394,270
1557563408642,76396,272
1557563409643,76398,274
1557563410649,76400,276
1557563411668,76402,278
1557563412680,76402,278
1557563413677,76404,280
1557563414686,76406,282
1557563415692,76408,284
1557563416702,76410,286
1557563417712,76412,288
1557563418722,76414,290
1557563419734,76416,292
1557563420722,76418,294
1557563421738,76420,296
1557563422759,76422,298
1557563423762,76424,300
1557563424769,76426,302
1557563425774,76428,304
1557563426801,76430,306
1557563427798,76432,308
1557563428810,76434,310
1557563429820,76436,312
1557563430838,76438,314
1557563431813,76440,316
1557563432824,76442,318
1557563433837,76444,320
1557563434839,76446,322
1557563435845,76448,324
1557563436864,76450,326
1557563437852,76452,328
1557563438864,76454,330
1557563439891,76456,332
1557563440889,76458,334
1557563441885,76460,336
1557563442923,76462,338
1557563443930,76464,340
1557563444920,76466,342
1557563445944,76468,344
1557563446948,76470,346
1557563447946,76472,348
1557563448953,76474,350
1557563449959,76476,352
1557563450966,76478,354
1557563451990,76480,356
1557563452999,76482,358
1557563453994,76484,360
1557563455002,76486,362
1557563456009,76488,364
1557563457025,76490,366
1557563458023,76492,368
1557563459041,76494,370
1557563460054,76496,372
1557563461068,76498,374
1557563462081,76500,376
1557563463075,76502,378
1557563464070,76504,380
1557563465081,76506,382
1557563466093,76508,384
1557563467093,76510,386
1557563468118,76512,388
1557563469126,76514,390
1557563470132,76516,392
1557563471131,76518,394
1557563472147,76520,396
1557563473181,76522,398
1557563474162,76524,400
1557563475154,76526,402
1557563476169,76528,404
1557563477179,76530,406
1557563478181,76530,406
1557563479212,76532,408
1557563480211,76534,410
1557563481238,76536,412
1557563482234,76538,414
1557563483225,76540,416
1557563484236,76542,418
1557563485235,76544,420
1557563486267,76546,422
1557563487265,76548,424
1557563488268,76550,426
1557563489278,76552,428
1557563490287,76554,430
1557563491302,76556,432
1557563492308,76558,434
1557563493309,76560,436
1557563494330,76562,438
1557563495335,76564,440
1557563496337,76566,442
1557563497357,76568,444
1557563498371,76570,446
1557563499356,76572,448
1557563500372,76574,450
1557563501383,76576,452
1557563502378,76578,454
1557563503389,76580,456
1557563504396,76582,458
1557563505404,76584,460
1557563506418,76586,462
1557563507465,76588,464
1557563508448,76590,466
1557563509442,76592,468
1557563510453,76594,470
1557563511461,76596,472
1557563512480,76598,474
1557563513477,76600,476
1557563514481,76602,478
1557563515481,76604,480
1557563516495,76604,480
1557563517502,76606,482
1557563518523,76608,484
1557563519542,76610,486
1557563520529,76612,488
1557563521548,76614,490
1557563522538,76616,492
1557563523535,76618,494
1557563524569,76620,496
1557563525561,76622,498
1557563526591,76624,500
1557563527597,76626,502
1557563528600,76628,504
1557563529616,76630,506
1557563530609,76632,508
1557563531625,76634,510
1557563532636,76636,512
1557563533626,76638,514
1557563534647,76640,516
1557563535639,76642,518
1557563536647,76644,520
1557563537678,76646,522
1557563538716,76648,524
1557563539679,76650,526
1557563540687,76652,528
1557563541699,76654,530
1557563542706,76656,532
1557563543713,76658,534
1557563544724,76660,536
1557563545729,76662,538
1557563546730,76664,540
1557563547740,76666,542
1557563548757,76666,542
1557563549768,76668,544
1557563550767,76670,546
1557563551793,76672,548
1557563552786,76674,550
1557563553794,76676,552
1557563554799,76678,554
1557563555809,76680,556
1557563556820,76682,558
1557563557829,76684,560
1557563558839,76686,562
1557563559851,76688,564
1557563560870,76690,566
1557563561850,76692,568
1557563562867,76694,570
1557563563873,76696,572
1557563564875,76698,574
1557563565901,76700,576
1557563566898,76702,578
1557563567894,76704,580
1557563568916,76706,582
1557563569927,76708,584
1557563570948,76710,586
1557563571947,76712,588
1557563573001,76714,590
1557563573958,76716,592
1557563574951,76718,594
1557563575966,76718,594
1557563576974,76720,596
1557563577986,76722,598
1557563579003,76724,600
1557563579995,76726,602
1557563581013,76728,604
1557563582045,76730,606
1557563583055,76732,608
1557563584048,76734,610
1557563585038,76736,612
1557563586052,76738,614
1557563587069,76740,616
1557563588081,76742,618
1557563589091,76744,620
1557563590074,76746,622
1557563591092,76748,624
1557563592122,76750,626
1557563593133,76750,626
1557563594146,76752,628
1557563595122,76754,630
1557563596146,76756,632
1557563597156,76758,634
1557563598156,76760,636
1557563599162,76762,638
1557563600179,76764,640
1557563601162,76766,642
1557563602193,76768,644
1557563603201,76770,646
1557563604212,76772,648
1557563605215,76774,650
1557563606213,76776,652
1557563607241,76778,654
1557563608236,76780,656
1557563609251,76782,658
1557563610261,76784,660
1557563611259,76786,662
1557563612259,76786,662
1557563613267,76788,664
1557563614277,76790,666
1557563615324,76792,668
1557563616297,76794,670
1557563617305,76796,672
1557563618311,76798,674
1557563619321,76800,676
1557563620389,76802,678
1557563621331,76804,680
1557563622359,76806,682
1557563623358,76808,684
1557563624360,76810,686
1557563625367,76812,688
1557563626395,76814,690
1557563627394,76816,692
1557563628387,76818,694
1557563629412,76820,696
1557563630417,76822,698
1557563631429,76822,698
1557563632429,76824,700
1557563633436,76824,700
1557563634442,76824,700
1557563635464,76824,700
1557563636456,76824,700
1557563637508,76824,700
1557563638471,76824,700
1557563639495,76824,700
1557563640496,76824,700
1557563641564,76824,700
1557563642520,76824,700
1557563643525,76824,700
1557563644530,76824,700
1557563645553,76824,700
1557563646553,76824,700
1557563647560,76824,700
1557563648566,76824,700
1557563649555,76824,700
1557563650592,76824,700
1557563651585,76824,700
1557563652613,76824,700
1557563653615,76824,700
1557563654609,76824,700
1557563655635,76824,700
1557563656641,76824,700
1557563657642,76824,700
1557563658641,76824,700
1557563659670,76824,700
1557563660648,76824,700
1557563661681,76824,700
1557563662679,76824,700
1557563663702,76824,700
1557563664690,76824,700
1557563665701,76824,700
1557563666720,76824,700
1557563667733,76824,700
1557563668720,76824,700
1557563669747,76824,700
1557563670743,76824,700
1557563671737,76824,700
1557563672786,76824,700
1557563673772,76824,700
1557563674794,76824,700
1557563675770,76834,710
1557563676784,76836,712
1557563677815,76838,714
1557563678812,76840,716
1557563679819,76842,718
1557563680832,76844,720
1557563681816,76846,722
1557563682826,76848,724
1557563683843,76850,726
1557563684853,76852,728
1557563685865,76854,730
1557563686863,76856,732
1557563687889,76858,734
1557563688893,76860,736
1557563689905,76862,738
1557563690906,76864,740
1557563691927,76866,742
1557563692927,76868,744
1557563693952,76870,746
1557563694929,76872,748
1557563695942,76874,750
1557563696960,76874,750
1557563697951,76876,752
1557563698960,76878,754
1557563699975,76880,756
1557563700985,76882,758
1557563702000,76884,760
1557563703010,76886,762
1557563704011,76888,764
1557563705018,76890,766
1557563706019,76892,768
1557563707088,76892,768
1557563708044,76894,770
1557563709065,76896,772
1557563710071,76898,774
1557563711081,76900,776
1557563712084,76902,778
1557563713072,76904,780
1557563714109,76906,782
1557563715116,76908,784
1557563716105,76910,786
1557563717112,76912,788
1557563718137,76914,790
1557563719138,76916,792
1557563720149,76918,794
1557563721154,76920,796
1557563722143,76922,798
1557563723155,76924,800
1557563724163,76926,802
1557563725179,76928,804
1557563726200,76930,806
1557563727189,76932,808
1557563728205,76934,810
1557563729214,76936,812
1557563730243,76938,814
1557563731242,76940,816
1557563732249,76942,818
1557563733234,76944,820
1557563734244,76946,822
1557563735282,76948,824
1557563736282,76950,826
1557563737261,76952,828
1557563738290,76954,830
1557563739303,76956,832
1557563740307,76958,834
1557563741298,76960,836
1557563742323,76962,838
1557563743345,76964,840
1557563744341,76966,842
1557563745340,76968,844
1557563746349,76970,846
1557563747360,76970,846
1557563748362,76972,848
1557563749386,76974,850
1557563750385,76976,852
1557563751383,76978,854
1557563752398,76978,854
1557563753404,76980,856
1557563754416,76980,856
1557563755422,76982,858
1557563756428,76984,860
1557563757420,76986,862
1557563758470,76986,862
1557563759439,76986,862
1557563760460,76988,864
1557563761467,76988,864
1557563762485,76988,864
1557563763498,76988,864
1557563764510,76988,864
1557563765534,76988,864
1557563766599,76988,864
1557563767525,76988,864
1557563768523,76988,864
1557563769580,76988,864
1557563770532,76988,864
1557563771545,76988,864
1557563772550,76988,864
1557563773551,76988,864
1557563774576,76988,864
1557563775582,76988,864
1557563776582,76988,864
1557563777594,76988,864
1557563778617,76988,864
1557563779630,76988,864
1557563780623,76988,864
1557563781632,76988,864
1557563782642,76988,864
1557563783648,76988,864
1557563784648,76988,864
1557563785673,76988,864
1557563786666,76988,864
1557563787679,76988,864
1557563788681,76988,864
1557563789687,76988,864
1557563790713,76988,864
1557563791699,76988,864
1557563792714,76988,864
1557563793708,76988,864
1557563794739,76988,864
1557563795756,76988,864
1557563796747,76988,864
1557563797779,76988,864
1557563798760,76988,864
1557563799773,76988,864
1557563800787,76988,864
1557563801794,76988,864
1557563802791,76988,864
1557563803852,76988,864
1557563804817,76988,864
1557563805844,76988,864
1557563806825,76988,864
1557563807851,76988,864
1557563808844,76988,864
1557563809841,76988,864
1557563810862,76988,864
1557563811891,76988,864
1557563812886,76988,864
1557563813882,76988,864
1557563814886,76988,864
1557563815919,76988,864
1557563816921,76988,864
1557563817919,76988,864
1557563818972,76988,864
1557563819926,76988,864
1557563820939,76988,864
1557563821961,76988,864
1557563822993,76998,874
1557563823972,77000,876
1557563824983,77000,876
1557563825987,77002,878
1557563827017,77002,878
1557563827994,77002,878
1557563829021,77002,878
1557563830027,77002,878
1557563831183,77002,878
1557563832053,77002,878
1557563833043,77002,878
1557563834046,77002,878
1557563835141,77002,878
1557563836064,77002,878
1557563837092,77012,888
1557563838093,77014,890
1557563839116,77016,892
1557563840092,77018,894
1557563841121,77020,896
1557563842138,77022,898
1557563843149,77024,900
1557563844153,77026,902
1557563845134,77028,904
1557563846158,77028,904
1557563847171,77030,906
1557563848181,77032,908
1557563849153,77034,910
1557563850209,77036,912
1557563851188,77038,914
1557563852251,77040,916
1557563853217,77042,918
1557563854216,77044,920
1557563855221,77046,922
1557563856235,77048,924
1557563857263,77050,926
1557563858235,77052,928
1557563859232,77054,930
1557563860243,77056,932
1557563861271,77058,934
1557563862270,77060,936
