timestamp,ssid,bssid,frequency,rssi
1557482118796,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-85
1557482118796,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-85
1557482118796,90:9f:33:8f:d3:ae,90:9f:33:8f:d3:ae,2417,-87
1557482118796,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-87
1557482118796,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-88
1557482118796,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-89
1557482118796,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-90
1557482133310,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-51
1557482133310,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-54
1557482133310,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-54
1557482133310,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-54
1557482133310,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-55
1557482133310,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-55
1557482133310,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-61
1557482133310,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-64
1557482133310,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-67
1557482133310,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-67
1557482133310,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-67
1557482133310,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-68
1557482133310,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-68
1557482133310,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-68
1557482133310,00:26:66:2e:58:cc,00:26:66:2e:58:cc,2432,-73
1557482133310,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-75
1557482133310,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-75
1557482133310,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-75
1557482133310,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-78
1557482133310,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-78
1557482133310,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-82
1557482133310,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-82
1557482133310,9c:1c:12:d2:ec:60,9c:1c:12:d2:ec:60,2472,-82
